Code	SiteCode	biogeo	climate	lat	lon	alt	MMXT	MMNT	MNTM	EMXT	EMNT	TotalP	EMXP	dung	trap	BT	D	SR	ST
GJB_T5_C1	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T5	0	1	0	2
GJB_T5_C2	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T5	0	2	0	2
GJB_T5_C3	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T5	0	1	0	3
GJB_T5_C4	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T5	0	1	0	1
GJB_T5_C5	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T5	0	3	0	3
GJB_T5_C6	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T5	0	3	0	2
GJB_T5_H2	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	H	T5	0	0	0	1
GJB_T5_H4	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	H	T5	0	0	0	1
GJB_T5_H6	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	H	T5	0	0	0	1
GJS-C-1	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	C	T1b	0	7	0	3
GJS-C-2	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	C	T1b	1	3	0	2
GJS-C-3	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	C	T1b	0	6	0	2
GJS-C-4	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	C	T1b	0	6	0	2
GJS-C-5	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	C	T1b	0	1	0	0
GJS-C-6	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	C	T1b	1	6	0	1
GJS-H-3	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	H	T1b	0	1	0	0
GJS-H-6	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	H	T1b	0	1	0	0
GJS-S-2	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	S	T1b	0	2	0	0
