Code	SiteCode	biogeo	climate	start	year	lat	lon	alt	MMXT	MMNT	MNTM	EMXT	EMNT	TotalP	EMXP	dung	trap	BT	D	SR	ST
ZW_T1S5	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T1	0	3	0	0
ZW_T1S5	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T1	0	29	0	1
ZW_T1S6	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T1	0	8	0	0
ZW_T1S6	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T1	0	101	0	0
ZW_T5C1	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T5	0	1	0	0
ZW_T5C1	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T5	0	7	0	0
ZW_T5C2	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T5	0	0	0	1
ZW_T5C2	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T5	0	12	0	0
ZW_T5C3	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T5	0	1	0	0
ZW_T5C3	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T5	0	5	0	0
ZW_T5C4	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T5	0	2	0	1
ZW_T5C4	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T5	1	2	0	0
ZW_T5C5	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T5	0	0	0	0
ZW_T5C5	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T5	0	1	0	0
ZW_T5C6	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T5	0	4	0	0
ZW_T5C6	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T5	1	4	0	0
ZW_T5H1	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T5	0	0	0	0
ZW_T5H1	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T5	1	4	0	0
ZW_T5H2	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T5	0	0	0	0
ZW_T5H2	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T5	1	6	0	1
ZW_T5H3	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T5	1	2	0	0
ZW_T5H3	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T5	0	62	0	0
ZW_T5H4	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T5	0	0	0	0
ZW_T5H4	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T5	0	14	0	1
ZW_T5H5	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T5	0	2	0	0
ZW_T5H5	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T5	0	5	0	0
ZW_T5H6	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T5	0	1	0	0
ZW_T5H6	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T5	0	8	0	3
ZW_T5S1	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T5	0	0	0	0
ZW_T5S1	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T5	0	11	0	0
ZW_T5S2	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T5	0	1	0	0
ZW_T5S2	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T5	0	8	0	1
ZW_T5S3	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T5	0	5	0	0
